категорија	類別
година	年度
година	年份
година	年
како	如何
како	讚
како	就像
како	像
како	喜歡
дека	那個
бил	bill
бил	法案
кои	誰
или	要麼
кој	誰
тоа	那個
други	其他
други	其他
македонија	馬其頓
кога	當
страна	一面
страна	側
дел	del
дел	dell
околу	關於
околу	圍繞著
околу	圍繞
околу	周圍
време	時光
време	時間
век	世紀
неговата	他的
еден	一
еден	one
еден	一個
исто	相同
повеќе	多
повеќе	更多
повеќе	更
податоци	資料
многу	非常
објекти	設施
објекти	物體
објекти	天體
објекти	物件
години	歲月
години	年份
календар	日曆
календар	曆法
календар	曆
сите	全部
сите	所有
сите	all
сите	大家
сите	每個人
една	一
една	one
една	一個
било	任何
пред	以前
пред	前
пред	之前
ова	這
ова	這個
јазик	舌頭
јазик	舌
јазик	語言
јазик	語
јазик	語文
само	只
само	只有
само	只是
само	只要
каталог	編目
таа	她
број	數字
број	數
број	號碼
број	編號
овој	這
овој	這個
градот	城市
градот	市
градот	城
општ	通用
оваа	這
оваа	這個
тие	那些
тие	她們
тие	他們
тие	它們
нов	新
нов	新的
селото	札幌
времето	天氣
времето	氣象
времето	時光
времето	時間
некои	一些
некои	有些
место	spot
место	斑點
место	地方
место	地點
место	地點
место	場地
место	會場
овие	這些
општина	市
светот	世界
преку	通過
преку	經由
преку	透過
преку	通過
македонски	馬其頓
земјата	地球
земјата	大地
две	兩
две	兩個
две	二
небо	天空
небо	sky
небо	天空
уште	仍然
уште	依然
уште	多
уште	更多
уште	更
список	名單
список	清單
список	列表
неговиот	他的
септември	九月份
септември	九月
споменува	提及
споменува	mentions
сјај	閃光
сјај	光芒
сјај	螢光
сјај	發光
град	城鎮
град	鎮
град	城市
град	市
град	城
агол	角落
агол	轉角
агол	角
агол	角度
агол	角
село	村
село	鄉村
село	村莊
село	村落
село	村子
информации	資訊
германија	德國
црква	教會
црква	教堂
подоцна	後來
подоцна	稍後
подоцна	以後
познати	已知
познати	著名
познати	有名
жители	居民
бидејќи	因為
треба	需求
треба	需要
мини	mini
мини	迷你
мини	地雷
мини	米妮
голем	大型
голем	big
голем	大
период	期間
луѓе	男性
луѓе	男人
луѓе	男子
луѓе	人
луѓе	人們
луѓе	人民
војна	戰
војна	戰爭
република	共和國
република	共和
три	三
три	三個
помош	協助
помош	援助
помош	幫助
помош	幫忙
поделба	組織
поделба	分裂
поделба	分水嶺
поделба	鴻溝
поделба	分化
освен	除了
освен	除外
над	上方
над	以上
неговите	他的
иако	儘管
иако	雖然
иако	雖然
низ	透過
низ	通過
низ	槽
села	鄉村
села	村莊
пример	範例
јазици	語言
јазици	語文
потоа	那
потоа	然後
потоа	那麼
потоа	事後
денес	今日
денес	今天
видот	視力
два	兩
два	兩個
два	二
точка	點
точка	角
точка	點
заедно	在一起
заедно	一起
литература	文獻
литература	文學
пак	再次
пак	pac
сепак	仍然
сепак	依然
сепак	然而
објект	天體
објект	物件
објект	設施
јануари	一月
систем	系統
име	名字
име	名稱
име	姓名
десно	右
основни	基本
сателитот	衛星
користи	利用
користи	使用
класификација	分類
група	群組
група	群
истражувања	調查
истражувања	研究
европа	歐洲
прв	首先
прв	第一
држави	國家
држави	國家
држави	各國
проучување	學習
проучување	研究
проучување	學習
пат	pat
пат	公路
пат	道路
пат	路
галаксии	星系
август	八月
август	八月份
вклучен	訂婚
предмет	項目
предмет	天體
предмет	物件
предмет	主題
астрономски	天文
соѕвездие	星座
набљудување	觀察
набљудување	觀測
мај	may
мај	梅
мај	五月份
мај	五月
истражувачи	探險家
истражувачи	研究者
критериуми	標準
март	三月
користена	使用
ѕвезди	星星
ѕвезди	明星
ѕвезди	星空
ѕвезди	星
ѕвезди	恆星
голема	大型
голема	big
голема	大
секој	任何人
секој	每個
секој	每一個
цел	目標
поделби	師團
оние	那些
јули	七月
јули	七月份
америка	美洲
америка	美國
америка	美洲
цар	沙皇
цар	皇帝
цар	天皇
често	常常
често	經常
често	頻繁
често	時常
често	常常
често	經常
поправени	固定
истражување	調查
истражување	問卷調查
истражување	研究
работи	事情
работи	工程
работи	作品
работи	工作
градови	城鎮
градови	城市
места	地方
места	地點
места	斑點
места	席位
места	座位
места	槽
април	四月
април	四月份
роден	生於
роден	誕生
роден	出生
роден	天生
октомври	十月
октомври	十月份
земја	國家
земја	地球
земја	大地
повторно	再次
око	眼
око	眼睛
франција	法國
димензии	尺寸
округот	郡
округот	縣
позната	已知
позната	著名
позната	有名
позната	熟悉
галаксија	銀河
галаксија	星系
галаксија	galaxy
галаксија	銀河系
игри	games
игри	遊戲
историја	歷史
откако	後
откако	之後
ноември	十一月
јуни	六月份
јуни	六月
лакот	弓
лакот	鞠躬
теме	頂點
живот	生命
живот	人生
живот	生活
северна	北方
северна	北部
настани	事件
настани	活動
ширина	寬度
ширина	寬
култура	文化
пласман	排名
центар	中心
центар	中心
втората	第二
втората	秒
население	人口
декември	十二月
мери	mary
мери	瑪麗
мери	瑪莉
дела	工程
дела	作品
ден	日
ден	一天
ден	白天
ден	day
состојба	國家
состојба	州
состојба	條件
состојба	狀況
дијаметар	直徑
рим	羅馬
особено	尤其
особено	尤其是
италија	義大利
тогаш	那
тогаш	然後
тогаш	那麼
реката	河
реката	江河
реката	河流
реката	江
леќа	鏡頭
леќа	鏡片
леќа	透鏡
земји	國家
земји	各國
шаблон	圖案
шаблон	格局
шаблон	模式
шаблон	樣板
шаблон	模板
вид	善良
член	會員
член	成員
познат	已知
познат	著名
познат	有名
округ	郡
округ	縣
округ	區
округ	地區
американски	美式
област	面積
област	地區
област	區域
област	區
јужна	南方
јужна	南部
јужна	南
јужна	南方
јужна	南部
едно	一
едно	one
едно	一個
етапа	舞台
етапа	階段
износ	金額
износ	款額
износ	數額
филмови	影片
филмови	電影
бугарија	保加利亞
првенство	錦標賽
опсерваторија	天文台
дури	甚至
грција	希臘
однос	戀愛
однос	感情
однос	關係
содржи	含有
содржи	包含
милиони	百萬
милиони	百萬
збор	詞
збор	word
збор	單詞
збор	字
збор	單字
февруари	二月
работа	工作
работа	工作
функција	功能
функција	職能
функција	函數
држава	國家
држава	國家
држава	州
календари	日曆
секоја	每個
секоја	每一個
секоја	每個
русија	俄
русија	俄國
русија	俄羅斯
метри	公尺
метри	米
метри	公尺
нејзината	她的
големи	大型
големи	big
големи	大
четири	四個
четири	四
четири	四名
џон	john
џон	jon
олимписки	奧林匹克
олимписки	奧運
делови	部件
делови	零件
политика	政策
политика	政治學
политика	政治
видови	品種
видови	魚種
видови	物種
империја	帝國
главен	首席
главен	科長
главен	主要
врска	連結
врска	link
врска	戀愛
врска	感情
врска	關係
врска	保證金
врска	鍵
врска	債券
врска	龐德
свети	閃耀
свети	發光
свети	神聖
свети	聖人
свети	聖
свети	光芒
свети	螢光
свети	發光
вклучувајќи	包括
телескоп	望遠鏡
групи	群組
групи	團體
најчесто	大多
награда	獎勵
награда	獎賞
награда	賞金
награда	賞
награда	獎品
награда	獎賞
награда	獎
награда	授予
награда	獎
разговор	對話
разговор	聊
разговор	聊天
филм	電影
филм	影片
филм	電影
филм	膠片
филм	影片
крај	終結
крај	結尾
крај	結束
вода	飲水
вода	水
резултат	分數
резултат	得分
резултат	比分
резултат	結果
улога	作用
улога	角色
претседател	總統
претседател	主席
училиште	學校
училиште	上學
западна	西方
западна	西部
нови	新
нови	新的
песни	曲調
песни	歌曲
песни	歌
организација	組織
организација	組織
лидери	領導者
лидери	領導人
познато	熟悉
случај	案例
случај	個案
случај	案件
редослед	訂單
редослед	命令
редослед	秩序
редослед	訂購
редослед	順序
сезона	季
сезона	季節
игра	game
игра	比賽
игра	博弈
игра	遊戲
веќе	已經
основа	基礎
основа	依據
населба	定居
населба	定居點
населба	鄰里
обично	通常
обично	通常
обично	平時
подредени	下屬
промени	變更
промени	變動
промени	變化
промени	更改
промени	改變
промени	更改
промени	變更
промени	變
разлика	區分
разлика	區別
разлика	diff
