and	dhe
was	ishte
for	për
for	per
that	që
that	qe
that	kjo
that	se
with	me
from	nga
this	këtë
this	ky
this	kjo
this	kete
utc	utc
his	vet
his	tij
not	jo
not	nuk
are	je
are	janë
talk	flas
talk	flasim
talk	llafe
talk	flasin
talk	fol
talk	flisni
which	cila
which	cilen
which	cilat
also	gjithashtu
has	ka
were	ishin
were	ishim
were	shim
were	ishe
but	por
have	kesh
have	kem
have	keni
one	një
one	njera
one	nje
one	one
new	re
new	reja
new	ri
new	new
first	first
page	faqe
page	faqja
page	faqen
you	ty
you	ju
you	ti
you	jush
they	ato
they	ata
had	pasur
had	kish
had	kishte
had	kishin
article	artikull
article	artikulli
article	neni
who	kush
who	kushe
all	krejt
all	gjith
their	tyre
there	atje
there	aty
made	made
its	saj
its	its
people	popull
people	njerëz
people	njerez
people	personat
people	njerëzit
people	njerzit
may	maji
may	majin
may	mej
may	maj
after	pas
after	mbas
after	pasi
other	tjera
other	tjetër
two	dy
score	rezultati
score	pikët
score	klasifikim
her	saj
her	asaj
can	mund
can	mundet
can	mundesh
can	munden
can	muj
she	ajo
about	rreth
about	per
when	kur
when	ur
time	radhe
time	koha
time	kohe
time	here
time	ora
team	skuader
team	skuadër
team	ekipi
team	skuadra
team	ekipa
team	ekip
american	amerikani
american	amerikan
american	american
american	amerikane
such	tilla
discussion	diskutim
discussion	diskutime
discussion	diskutimi
discussion	diskutimet
links	lidhje
links	lidhjet
only	vetëm
only	vetem
some	disa
see	shikon
see	shihni
see	shikoni
see	shiko
see	sheh
united	united
years	vjet
years	vite
years	vitet
school	shkoll
school	shkolla
school	shkollë
world	botë
world	bota
world	bote
world	world
university	university
university	universitet
university	universiteti
out	jashtë
out	out
out	jashte
out	jasht
state	shtet
state	shteti
state	shtetit
states	shtetet
states	shteteve
states	shtete
national	national
national	kombëtare
wikipedia	wikipedia
year	viti
year	vit
city	qyteti
city	city
city	qytet
used	përdorur
used	përdoret
then	pastaj
then	atëherë
then	atehere
than	se
county	qark
county	qarku
county	qarkun
external	jashtme
external	jashtëm
where	ku
will	will
will	do
will	vullneti
will	vullnet
what	çfarë
what	çka
what	qka
what	qfar
what	cfare
delete	fshi
delete	fshije
any	ndonjë
any	çdo
these	kto
these	keto
these	këto
these	keta
january	janari
january	janar
march	marshim
march	mars
august	gusht
august	gushti
august	august
july	korrik
july	korriku
film	filmi
film	film
him	atij
him	ate
him	atë
south	jugu
south	jugut
south	jug
south	south
september	shtator
september	shtatorin
september	shtatori
like	si
like	psh
like	sikur
like	like
between	mes
between	midis
october	tetor
october	tetori
three	tri
three	treshi
three	tre
june	qershor
june	qershori
june	june
june	qershorin
june	qeshor
use	përdorimi
use	përdor
use	përdorim
war	lufte
war	luft
war	lufta
war	luftë
under	nen
under	nën
them	to
them	atyre
them	ato
them	tyre
them	ata
april	april
april	prill
april	prilli
born	lindur
born	lindë
born	lind
december	dhjetor
december	dhjetori
december	dhjetorit
december	dhjetorin
link	linku
link	link
link	lidhje
link	lidhja
while	nderkohe
while	ndersa
while	ndërsa
part	pjes
part	pjesa
part	pjese
part	pjesë
november	nentori
november	nentor
november	nëntor
november	nëntori
players	lojtaret
players	lojtarë
players	lojtarët
list	lista
list	listë
following	pas
february	shkurtit
february	shkurt
february	shkurti
known	dihet
known	njohur
known	njihet
second	sekondë
second	dyte
second	sekond
second	dyta
second	dytë
name	emri
name	emrin
name	emër
group	grup
group	grupin
group	grupi
history	historia
history	histori
series	seritë
series	seria
series	seri
just	vetëm
just	vetem
just	thjesht
just	veq
north	veri
north	veriut
north	veriu
work	pune
work	punet
work	puna
work	puno
work	punë
work	pun
before	përpara
before	perpara
before	para
since	qysh
since	meqe
season	stinë
season	sezon
season	stina
season	sezoni
season	sezona
both	dyjat
both	dy
high	high
high	lart
high	lartë
through	nëpër
through	përmes
through	nëpërmjet
district	distrikti
district	qark
district	rajoni
now	tash
now	tani
comments	komente
comments	komenton
comments	komentet
comments	komenteve
because	sepse
football	futboll
football	futbolli
football	football
music	muzikë
music	muzika
music	muzike
music	muzik
diff	diff
century	shekull
century	shekulli
league	league
league	liga
league	ligë
edits	redaktimet
debate	debati
debate	debat
title	titull
title	titulli
articles	artikujt
articles	artikuj
articles	nenet
john	gjoni
john	xhon
john	john
john	gjon
same	same
same	njëjtë
same	njesoj
same	njejt
same	njësoj
including	perfshire
could	mund
could	mundet
english	anglisht
english	anglez
album	album
album	albumi
album	albumin
number	numer
number	numri
number	numër
number	numrin
against	kundra
against	kundër
family	familje
family	familjar
family	family
family	familja
user	përdoruesi
user	përdorues
based	bazuar
area	zona
area	zonë
york	jork
york	york
life	jetë
life	jeta
life	jete
british	britanik
british	britanike
british	british
international	internacional
international	international
international	internacionale
international	ndërkombëtar
international	ndërkombëtare
game	loje
game	loja
game	lojë
above	përmbi
above	sipër
above	mbi
club	klub
club	club
club	klubi
your	tuaj
your	suaj
your	jot
your	tu
your	juaj
your	jote
until	derisa
until	deri
early	hershme
early	hershëm
early	herët
early	heret
best	mirat
best	miren
best	miri
west	perëndimi
west	west
west	perendimi
west	perëndim
west	perendim
west	perëndimore
house	shtëpia
house	shpi
house	shtepi
house	shtëpi
house	shpija
house	shpia
company	kompani
company	kompania
company	shoqëri
company	ndërmarrje
general	gjeneral
general	gjenerali
general	përgjithshëm
general	general
left	majt
left	majtas
left	lene
very	shum
very	shumë
very	shume
here	ketu
here	ktu
here	ja
here	këtu
don	don
living	jetesa
living	living
living	jeton
day	ditën
day	dite
day	dej
day	dita
day	dit
day	ditë
place	vend
place	vendi
place	place
place	vendë
party	aheng
party	festa
party	parti
party	festë
party	ndeja
party	party
college	kolegji
college	kolegj
result	rezultojnë
result	rezultati
result	rezultat
keep	mbaje
keep	mbaj
keep	mbani
appropriate	përshtatshme
appropriate	përshtatshëm
four	katër
even	madje
even	edhe
class	class
class	klasë
class	klasa
government	qeveria
government	qeveri
government	qeveritare
how	si
called	thirri
called	thirren
each	secili
each	secila
found	gjet
found	gjetur
center	qendra
center	qendër
style	stil
style	style
style	stili
com	com
long	gjate
long	gjata
long	gjat
long	long
long	gjatë
country	shtet
country	shteti
country	vend
country	vendi
back	mbrapa
back	kthy
back	prapa
way	rrug
way	way
does	bën
www	www
modify	ndrysho
end	mbarimi
end	fund
end	fundi
end	end
end	perfundim
make	make
public	publik
public	publikë
public	publike
public	publiku
public	public
played	luajtur
played	luhet
played	luajti
won	korri
won	won
won	fitoi
won	fituan
released	lirohet
released	lëshuar
released	liruar
added	shtoi
added	shtuar
support	mbështetje
support	mbështetja
support	perkrahje
support	përkrahje
games	lojrat
games	lojëra
games	lojërat
games	lojra
former	ish
those	ato
those	ata
films	filma
films	filmat
church	kishë
church	kisha
east	lindja
east	lindje
line	rreshti
line	linja
line	line
line	linjë
major	majori
major	major
members	antarë
members	anëtarët
members	anëtarë
members	antarët
good	paçi
good	mire
good	mirë
much	shume
image	figurë
image	imazh
image	figura
image	imazhi
show	shfaqje
show	emisioni
show	shfaqja
show	show
show	shfaq
still	akoma
still	ende
think	mendoje
think	mendohu
think	mendoni
think	mendo
below	poshtë
below	nën
town	qyteti
town	qytet
town	qytezë
town	qyteza
last	fundit
last	last
system	sistem
system	sistemin
system	sistemi
right	djathtas
right	drejtë
song	kënga
song	kenge
song	këngë
section	seksionin
section	seksioni
section	seksion
single	beqare
single	single
single	beqar
included	përfshinte
included	përfshihen
included	përfshirë
included	përfshihet
included	përfshi
included	përfshinë
align	rreshtimi
home	shtëpi
home	shtëpia
home	shtepi
women	grat
women	femrat
women	gratë
women	gra
women	grate
women	femra
television	televizion
television	televizioni
television	televizori
seed	fara
seed	pasardhës
member	pjesëtar
member	anëtar
member	antare
member	antar
goals	gola
goals	qëllimet
goals	synime
sources	burime
sources	burimet
book	libri
book	libër
book	liber
station	stacion
station	stacioni
order	porosit
order	porosia
order	rend
order	porositur
old	vjeter
old	vjetër
old	old
information	informacionet
information	informacion
information	informacioni
information	informacione
set	set
set	seti
set	vendos
set	cakto
text	teksti
text	tekst
band	bandë
band	band
band	bend
band	banda
band	grupi
point	pika
point	pikë
local	lokale
local	vendase
local	vendore
local	lokal
local	vendas
around	rreth
around	perreth
around	rrotull
around	përreth
river	lume
river	lumë
river	lumi
river	lum
top	krye
top	maje
top	top
top	sipër
top	majë
main	kryesore
main	main
main	kryesor
language	gjuhe
language	gjuha
language	gjuhën
language	gjuhë
french	frëngjisht
french	frengjisht
french	francez
french	franceze
https	https
off	off
off	fikur
