que	که
per	برای
les	لیس
les	له
les	les
les	لز
les	لس
els	را
amb	با
com	شبیه
com	لایک
com	مثل
com	like
com	مانند
més	دیگر
més	بیشتر
bar	bar
bar	میله
bar	بار
van	وان
van	فان
van	ون
van	وَن
era	دوران
era	عصری
text	متن
també	همچنین
entre	میان
entre	بین
fou	بود
anys	سالهای
anys	سالها
anys	سال
any	سال
població	جمعیت
població	جمعیتی
però	ولی
però	اما
aquest	این
altres	دیگر
altres	غیره
altres	دیگران
altres	دیگر
estat	حالت
estat	استیت
estat	دولت
estat	وضعیت
estat	ایالت
estat	شده
són	هستند
són	are
fins	تا
des	des
des	دس
aquesta	این
eren	بودند
persones	افراد
persones	مردمان
persones	آدمها
persones	مردم
from	از
part	جزء
part	قسمت
part	پارت
cap	هیچکدام
sobre	پاکت
gran	عالی
gran	عالیه
durant	دورانت
enllaços	پیوندها
enllaços	پیوندهای
dos	دوتا
dos	دو
externs	خارجی
família	فامیل
família	خانوادگی
família	خانواده
ciutat	شهری
ciutat	شهر
ciutat	سیتی
quan	وقتی
quan	چون
qual	کدام
molt	خیلی
molt	بسیار
nord	شمالی
nord	نورث
nord	شمال
barcelona	بارسلون
barcelona	بارسلونا
dones	زنانی
dones	زنها
dones	زنان
segons	ثانیه
primer	اول
primer	ابتدا
primer	نخستین
segle	قرن
segle	قرنه
segle	سده
nom	نام
tres	سه
sud	ساوت
sud	جنوب
sud	جنوبی
lloc	محل
lloc	مکانی
lloc	مکان
lloc	جای
lloc	جایی
nova	تازه
nova	نو
nova	جدید
nova	نیو
nova	نووا
nova	نوا
homes	مردانی
homes	مردها
homes	مردان
primera	اول
primera	ابتدا
primera	نخستین
dues	دوتا
dues	دو
guerra	جنگ
guerra	جنگی
següent	بعدی
següent	next
sense	بى
sense	بدون
això	این
general	عمومی
general	ژنرال
general	جنرال
catalunya	کاتالونیا
vivien	ویوین
forma	شکل
forma	فرم
forma	شکل
mateix	همون
han	هان
encara	همچنان
encara	هنوزم
encara	هنوز
mort	مرگ
