din	از
care	که
care	کدام
fost	شده
mai	mai
mai	مای
mai	دیگر
mai	بیشتر
pentru	برای
lui	او
sunt	هستند
sunt	are
sit	سایت
regiunea	منطقه
regiunea	ناحیه
regiunea	استان
regiunea	منطقۀ
mare	عالی
mare	عالیه
mare	بیگ
mare	big
mare	بزرگ
mare	بزرگی
mare	دریا
mare	دریای
mare	بحر
anul	سال
comuna	رایج
comuna	معمولی
comuna	مشترک
comuna	رایج
comuna	معمولی
comuna	مشترک
are	has
are	دارد
externe	خارجی
locuitori	ساکنین
locuitori	یاران
legaturi	پیوندها
legaturi	پیوندهای
legaturi	اتصالات
legaturi	ارتباطات
legaturi	پیوندها
legaturi	پیوندهای
vezi	see
vezi	دیدن
dar	ولی
dar	اما
cod	کد
cod	cod
populatie	جمعیت
populatie	جمعیتی
bucuresti	بخارست
bucuresti	بخارست
bucuresti	بخارست
fiind	بودن
romania	رومانی
romania	رومانی
jpg	jpg
lista	فهرست
lista	فهرست
ucraina	اوکراین
nume	نام
ani	انی
ani	سالهای
ani	سالها
ani	سال
avea	had
intre	میان
intre	بین
intre	میان
intre	بین
pana	تا
pana	تا
pana	پر
pana	پرم
poate	شایدم
poate	شاید
doua	دوتا
doua	دو
doua	دوتا
doua	دو
rege	پادشاه
rege	کینگ
rege	شاه
sub	تحت
sub	زیر
alte	دیگر
alte	غیره
cand	وقتی
cand	چون
cand	وقتی
cand	چون
regiune	منطقه
regiune	ناحیه
regiune	استان
regiune	منطقۀ
anii	سالهای
anii	سالها
anii	سال
parte	جزء
parte	قسمت
parte	پارت
judetul	شهرستان
judetul	کانتی
judetul	شهرستان
judetul	کانتی
centura	کمربند
centura	کمربند
dinastia	دودمان
dinastia	سلسله
septembrie	september
septembrie	سپتامبر
timp	زمان
timp	تایم
timp	time
despre	درباره
despre	دربارۀ
unde	کجا
unde	کجای
majoritatea	اکثر
majoritatea	بیشتر
majoritatea	بیشترین
majoritatea	اکثریت
densitate	تراکم
densitate	چگالی
limba	زبون
limba	زبان
limba	زبان
limba	زبون
limba	زبان
limba	زبان
iunie	ژوئن
iunie	june
multe	بسیار
socorro	سوکورو
prima	اول
prima	ابتدا
prima	نخستین
prima	اضافی
octombrie	اکتبر
octombrie	october
august	آگوست
august	آگست
august	اوت
sat	روستای
sat	دهکده
sat	ویلیج
sat	روستا
sat	نشسته
sat	نشستم
sat	نشست
sat	نشستند
sat	بلندای
martie	مارس
martie	پیشروی
martie	راهپیمایی
biserica	کلیسا
biserica	چرچ
biserica	کلیسای
biserica	کلیسا
biserica	چرچ
biserica	کلیسای
fisier	پرونده
fisier	پرونده
decembrie	دسامبر
toate	همه
ianuarie	ژانویه
latns	latns
latd	latd
longd	longd
adresa	آدرس
adresa	نشانی
adresa	آدرس
adresa	نشانی
noiembrie	نوامبر
cum	چطور
imagine	عکسه
imagine	عکس
imagine	تصویر
imagine	نگاره
statul	حالت
statul	استیت
statul	دولت
statul	وضعیت
statul	ایالت
avut	had
familia	فامیل
familia	خانوادگی
familia	خانواده
numele	نام
timpul	زمان
timpul	تایم
timpul	time
nord	شمالی
nord	نورث
nord	شمال
nord	نورد
principala	main
principala	اصلی
principala	ماین
principala	main
principala	اصلی
principala	ماین
sud	ساوت
sud	جنوب
sud	جنوبی
aprilie	اپریل
aprilie	آوریل
erau	بودند
loc	محل
loc	مکانی
loc	مکان
loc	جای
loc	جایی
primul	اول
primul	ابتدا
primul	نخستین
iulie	ژوئیه
